"filename", "language", "Markdown", "JSON", "Ignore", "PlantUML", "YAML", "PowerShell", "Docker", "Shell Script", "JavaScript", "Properties", "TypeScript", "pip requirements", "JSON with Comments", "TypeScript JSX", "HTML", "Python", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\ignas\Training_Plans\backend\app\routers\integrations\sync_tasks.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492, 0, 0, 26, 72, 590
"c:\Users\ignas\Training_Plans\backend\app\routers\integrations\webhook_handlers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 2, 27, 176
"c:\Users\ignas\Training_Plans\backend\app\routers\integrations\wellness.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 10, 106
"c:\Users\ignas\Training_Plans\backend\app\routers\planning.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 37, 245
"c:\Users\ignas\Training_Plans\backend\app\routers\users.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1313, 0, 0, 39, 248, 1600
"c:\Users\ignas\Training_Plans\backend\app\routers\workouts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 1, 37, 232
"c:\Users\ignas\Training_Plans\backend\app\schemas.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 912, 0, 0, 6, 244, 1162
"c:\Users\ignas\Training_Plans\backend\app\seed.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 309, 0, 0, 7, 59, 375
"c:\Users\ignas\Training_Plans\backend\app\seed_50_athletes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 9, 23, 148
"c:\Users\ignas\Training_Plans\backend\app\seed_workouts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 8, 15, 164
"c:\Users\ignas\Training_Plans\backend\app\seed_workouts_docker.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 9, 16, 167
"c:\Users\ignas\Training_Plans\backend\app\services\activity_dedupe.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 48, 61, 363
"c:\Users\ignas\Training_Plans\backend\app\services\compliance.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 479, 0, 0, 31, 121, 631
"c:\Users\ignas\Training_Plans\backend\app\services\email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 10, 51
"c:\Users\ignas\Training_Plans\backend\app\services\permissions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 3, 30, 155
"c:\Users\ignas\Training_Plans\backend\app\services\personal_records.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 501, 0, 0, 43, 95, 639
"c:\Users\ignas\Training_Plans\backend\app\services\season_planner.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 645, 0, 0, 20, 82, 747
"c:\Users\ignas\Training_Plans\backend\app\services\support.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 29, 163
"c:\Users\ignas\Training_Plans\backend\app\tests\test_activity_access_and_gpx.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 4, 48, 302
"c:\Users\ignas\Training_Plans\backend\app\tests\test_activity_dedupe_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 28, 54, 191
"c:\Users\ignas\Training_Plans\backend\app\tests\test_auth_extended.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 23, 54, 189
"c:\Users\ignas\Training_Plans\backend\app\tests\test_auth_invite_security.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 70, 320
"c:\Users\ignas\Training_Plans\backend\app\tests\test_calendar_collaboration.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 16, 69
