Date : 2026-04-26 21:46:40
Directory : c:\Users\ignas\Training_Plans
Total : 396 files,  196097 codes, 1628 comments, 9326 blanks, all 207051 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\utils\authSession.ts.html                                | HTML               |        404 |          0 |         17 |        421 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\utils\hrZones.ts.html                                    | HTML               |        392 |          0 |         14 |        406 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\utils\index.html                                         | HTML               |        130 |          0 |         16 |        146 |
| c:\Users\ignas\Training_Plans\frontend\coverage-critical\utils\localSnapshot.ts.html                              | HTML               |        290 |          0 |         14 |        304 |
| c:\Users\ignas\Training_Plans\frontend\coverage\base.css                                                          | PostCSS            |        203 |          9 |         13 |        225 |
| c:\Users\ignas\Training_Plans\frontend\coverage\block-navigation.js                                               | JavaScript         |         66 |          7 |         15 |         88 |
| c:\Users\ignas\Training_Plans\frontend\coverage\index.html                                                        | HTML               |        326 |          0 |         30 |        356 |
| c:\Users\ignas\Training_Plans\frontend\coverage\prettify.css                                                      | PostCSS            |          1 |          0 |          1 |          2 |
| c:\Users\ignas\Training_Plans\frontend\coverage\prettify.js                                                       | JavaScript         |          1 |          1 |          1 |          3 |
| c:\Users\ignas\Training_Plans\frontend\coverage\sorter.js                                                         | JavaScript         |        171 |         21 |         19 |        211 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\App.tsx.html                                                  | HTML               |        374 |          0 |         14 |        388 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\activities.ts.html                                        | HTML               |        197 |          0 |         14 |        211 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\admin.ts.html                                             | HTML               |        296 |          0 |         14 |        310 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\calendarCollaboration.ts.html                             | HTML               |        278 |          0 |         14 |        292 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\client.ts.html                                            | HTML               |        614 |          0 |         14 |        628 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\coachOperations.ts.html                                   | HTML               |        140 |          0 |         14 |        154 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\communications.ts.html                                    | HTML               |        533 |          0 |         14 |        547 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\dayNotes.ts.html                                          | HTML               |        230 |          0 |         14 |        244 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\index.html                                                | HTML               |        242 |          0 |         24 |        266 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\integrations.ts.html                                      | HTML               |        392 |          0 |         14 |        406 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\organizations.ts.html                                     | HTML               |        674 |          0 |         14 |        688 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\planning.ts.html                                          | HTML               |        413 |          0 |         14 |        427 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\api\workouts.ts.html                                          | HTML               |        200 |          0 |         14 |        214 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\ActivitiesView.tsx.html                            | HTML               |      1,785 |          0 |         16 |      1,801 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\AppSidebarLayout.tsx.html                          | HTML               |        608 |          0 |         14 |        622 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\CoachComparisonPanel.tsx.html                      | HTML               |      5,984 |          0 |         14 |      5,998 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\DualCalendarView.tsx.html                          | HTML               |        770 |          0 |         14 |        784 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\IntegrationsPanel.tsx.html                         | HTML               |        512 |          0 |         14 |        526 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\ProtectedRoute.tsx.html                            | HTML               |        239 |          0 |         14 |        253 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\ShareToChatModal.tsx.html                          | HTML               |        566 |          0 |         14 |        580 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\TrainingCalendar.tsx.html                          | HTML               |      6,157 |          0 |         18 |      6,175 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\BestEffortsPanel.tsx.html           | HTML               |        500 |          0 |         14 |        514 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\ChartsPanel.tsx.html                | HTML               |        920 |          0 |         14 |        934 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\CommentsPanel.tsx.html              | HTML               |        394 |          0 |         15 |        409 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\ComparisonPanel.tsx.html            | HTML               |        962 |          0 |         14 |        976 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\FullscreenMapModal.tsx.html         | HTML               |        992 |          0 |         14 |      1,006 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\HardEffortsChart.tsx.html           | HTML               |      1,505 |          0 |         14 |      1,519 |
| c:\Users\ignas\Training_Plans\frontend\coverage\src\components\activityDetail\HardEffortsPanel.tsx.html           | HTML               |      2,051 |          0 |         14 |      2,065 |
